"Label (Grouping)","Weld County, Colorado!!Total!!Estimate","Weld County, Colorado!!Total!!Margin of Error","Weld County, Colorado!!Median income (dollars)!!Estimate","Weld County, Colorado!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","",""
"Households","92,426","±1,613","58,611","±2,251"
"    One race--","","","",""
"        White","85.2%","±1.3","60,877","±2,926"
"        Black or African American","N","N","26,971","±18,554"
"        American Indian and Alaska Native","N","N","81,078","±52,324"
"        Asian","N","N","85,234","±39,469"
"        Native Hawaiian and Other Pacific Islander","N","N","-","**"
"        Some other race","10.0%","±1.4","44,998","±8,756"
"    Two or more races","N","N","29,239","±2,958"
"Hispanic or Latino origin (of any race)","21.4%","±1.3","40,153","±5,619"
"White alone, not Hispanic or Latino","75.1%","±1.3","65,088","±3,869"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","",""
"    15 to 24 years","4.8%","±0.8","27,861","±2,730"
"    25 to 44 years","38.6%","±1.3","61,950","±5,500"
"    45 to 64 years","37.6%","±1.4","70,767","±6,633"
"    65 years and over","19.0%","±0.7","41,923","±3,414"
"FAMILIES","","","",""
"    Families","67,364","±1,951","66,807","±2,686"
"        With own children under 18 years","47.6%","±2.2","62,821","±5,866"
"        With no own children under 18 years","52.4%","±2.2","69,514","±4,379"
"        Married-couple families","75.7%","±2.2","77,116","±4,829"
"        Female householder, no husband present","16.6%","±2.2","32,699","±4,874"
"        Male householder, no wife present","7.7%","±1.6","47,222","±12,876"
"NONFAMILY HOUSEHOLDS","","","",""
"    Nonfamily households","25,062","±1,700","32,430","±3,041"
"        Female householder","46.9%","±4.3","29,965","±2,535"
"            Living alone","38.5%","±4.5","27,553","±4,177"
"            Not living alone","8.4%","±2.0","56,054","±11,534"
"        Male householder","53.1%","±4.3","35,964","±9,086"
"            Living alone","41.3%","±4.6","31,082","±5,360"
"            Not living alone","11.8%","±3.1","55,313","±9,108"
"PERCENT IMPUTED","","","",""
"    Household income in the past 12 months","34.2%","(X)","(X)","(X)"
"    Family income in the past 12 months","35.0%","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","29.2%","(X)","(X)","(X)"
