"Label (Grouping)","Weld County, Colorado!!Households!!Estimate","Weld County, Colorado!!Households!!Margin of Error","Weld County, Colorado!!Families!!Estimate","Weld County, Colorado!!Families!!Margin of Error","Weld County, Colorado!!Married-couple families!!Estimate","Weld County, Colorado!!Married-couple families!!Margin of Error","Weld County, Colorado!!Nonfamily households!!Estimate","Weld County, Colorado!!Nonfamily households!!Margin of Error"
"Total","107,929","±1,530","77,930","±2,334","60,761","±2,321","29,999","±1,987"
"    Less than $10,000","4.3%","±1.0","3.2%","±1.0","1.9%","±0.8","8.3%","±2.3"
"    $10,000 to $14,999","3.5%","±1.0","2.6%","±1.0","1.6%","±1.0","6.1%","±2.0"
"    $15,000 to $24,999","5.9%","±1.0","2.9%","±0.8","2.0%","±0.8","14.3%","±3.3"
"    $25,000 to $34,999","7.3%","±1.3","5.0%","±1.3","3.6%","±1.2","13.8%","±3.3"
"    $35,000 to $49,999","10.9%","±1.5","10.2%","±1.6","8.5%","±1.8","14.1%","±3.1"
"    $50,000 to $74,999","17.0%","±2.0","16.6%","±2.3","14.6%","±2.3","18.4%","±3.8"
"    $75,000 to $99,999","16.5%","±1.7","18.4%","±2.4","19.0%","±2.6","10.5%","±3.0"
"    $100,000 to $149,999","18.8%","±1.7","22.2%","±2.2","25.6%","±2.4","9.9%","±2.5"
"    $150,000 to $199,999","8.6%","±1.4","10.1%","±1.6","12.3%","±1.8","1.9%","±1.2"
"    $200,000 or more","7.1%","±1.4","8.7%","±1.8","10.9%","±2.2","2.5%","±1.5"
"Median income (dollars)","75,938","±2,078","85,818","±3,493","97,848","±6,087","41,870","±3,206"
"Mean income (dollars)","90,525","±3,412","101,445","±4,273","112,892","±5,004","56,530","±4,991"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","35.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","36.6%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","31.8%","(X)"
