"Label (Grouping)","Colorado!!Number!!Estimate","Colorado!!Number!!Margin of Error","Colorado!!Percent Distribution!!Estimate","Colorado!!Percent Distribution!!Margin of Error","Colorado!!Mean income (dollars)!!Estimate","Colorado!!Mean income (dollars)!!Margin of Error","Larimer County, Colorado!!Number!!Estimate","Larimer County, Colorado!!Number!!Margin of Error","Larimer County, Colorado!!Percent Distribution!!Estimate","Larimer County, Colorado!!Percent Distribution!!Margin of Error","Larimer County, Colorado!!Mean income (dollars)!!Estimate","Larimer County, Colorado!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","","","","","","","","","",""
"    All households","2,384,584","±7,807","2,384,584","±7,807","119,039","±1,252","154,391","±1,840","154,391","±1,840","110,604","±3,611"
"        With earnings","1,947,148","±10,698","81.7%","±0.4","119,085","±1,526","123,447","±2,544","80.0%","±1.3","109,892","±4,045"
"            With wages or salary income","1,883,129","±10,254","79.0%","±0.4","115,349","±1,408","119,642","±2,870","77.5%","±1.6","104,957","±3,919"
"            With self-employment income","313,649","±9,965","13.2%","±0.4","46,733","±2,737","19,217","±1,957","12.4%","±1.3","52,483","±7,718"
"        With interest, dividends, or net rental income","522,914","±10,231","21.9%","±0.4","28,880","±1,905","37,536","±2,511","24.3%","±1.6","22,143","±4,193"
"        With Social Security income","607,234","±8,204","25.5%","±0.3","22,784","±293","39,089","±1,843","25.3%","±1.2","24,537","±1,387"
"        With Supplemental Security Income (SSI)","74,162","±4,460","3.1%","±0.2","10,798","±465","4,811","±1,178","3.1%","±0.8","11,089","±1,980"
"        With cash public assistance income or Food Stamps/SNAP","225,738","±8,100","9.5%","±0.3","(X)","(X)","13,658","±1,664","8.8%","±1.1","(X)","(X)"
"            With cash public assistance","53,589","±3,796","2.2%","±0.2","4,580","±430","3,497","±1,142","2.3%","±0.7","7,777","±1,928"
"        With retirement income","521,772","±10,142","21.9%","±0.4","35,459","±1,054","34,228","±1,903","22.2%","±1.3","42,108","±5,572"
"        With other types of income","224,065","±8,344","9.4%","±0.3","15,609","±632","14,258","±1,953","9.2%","±1.3","13,906","±1,849"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","","","","","","","","","",""
"    All families","1,464,182","±10,863","1,464,182","±10,863","142,387","±1,990","92,875","±3,002","92,875","±3,002","137,223","±5,610"
"        No workers","189,519","±6,536","12.9%","±0.4","84,574","±2,858","15,874","±1,399","17.1%","±1.5","89,262","±8,124"
"        1 worker","412,170","±10,193","28.2%","±0.6","109,489","±3,344","26,569","±2,382","28.6%","±2.5","114,874","±11,487"
"        2 workers, both spouses worked","547,507","±9,563","37.4%","±0.6","177,910","±3,001","32,720","±2,491","35.2%","±2.3","168,864","±10,742"
"        2 workers, other","138,267","±6,830","9.4%","±0.5","121,555","±6,272","6,688","±1,823","7.2%","±1.9","104,263","±14,162"
"        3 or more workers, both spouses worked","132,463","±5,759","9.0%","±0.4","197,468","±6,126","9,901","±1,358","10.7%","±1.5","185,501","±20,390"
"        3 or more workers, other","44,256","±4,056","3.0%","±0.3","157,111","±11,546","1,123","±649","1.2%","±0.7","192,686","±78,152"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"    Total population","5,839,926","*****","5,839,926","*****","49,071","±524","366,778","*****","366,778","*****","46,644","±1,478"
"        One race--","","","","","","","","","","","",""
"            White","4,106,707","±18,254","70.3%","±0.3","55,103","±714","302,614","±3,542","82.5%","±1.0","48,854","±1,940"
"            Black or African American","235,519","±7,436","4.0%","±0.1","31,796","±1,754","3,370","±964","0.9%","±0.3","41,032","±16,472"
"            American Indian and Alaska Native","71,351","±10,561","1.2%","±0.2","28,603","±4,515","2,431","±1,732","0.7%","±0.5","54,510","±53,146"
"            Asian","190,181","±4,841","3.3%","±0.1","54,724","±4,048","8,186","±1,256","2.2%","±0.3","49,658","±12,981"
"            Native Hawaiian and Other Pacific Islander","6,916","±1,251","0.1%","±0.1","42,655","±15,490","711","±583","0.2%","±0.2","32,715","±23,764"
"            Some other race","374,838","±19,447","6.4%","±0.3","30,433","±1,468","9,876","±2,637","2.7%","±0.7","29,421","±10,653"
"        Two or more races","854,414","±21,957","14.6%","±0.4","33,518","±1,092","39,590","±3,783","10.8%","±1.0","33,672","±4,834"
"        Hispanic or Latino origin (of any race)","1,314,962","*****","22.5%","*****","29,910","±787","46,714","*****","12.7%","*****","29,792","±2,474"
"        White alone, not Hispanic or Latino","3,793,270","±7,190","65.0%","±0.1","57,252","±771","290,738","±1,669","79.3%","±0.5","49,549","±1,973"
