"Label (Grouping)","Colorado!!Number!!Estimate","Colorado!!Number!!Margin of Error","Colorado!!Percent Distribution!!Estimate","Colorado!!Percent Distribution!!Margin of Error","Colorado!!Mean income (dollars)!!Estimate","Colorado!!Mean income (dollars)!!Margin of Error","Weld County, Colorado!!Number!!Estimate","Weld County, Colorado!!Number!!Margin of Error","Weld County, Colorado!!Percent Distribution!!Estimate","Weld County, Colorado!!Percent Distribution!!Margin of Error","Weld County, Colorado!!Mean income (dollars)!!Estimate","Weld County, Colorado!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","","","","","","","","","",""
"    All households","2,384,584","±7,807","2,384,584","±7,807","119,039","±1,252","123,825","±1,434","123,825","±1,434","113,582","±6,461"
"        With earnings","1,947,148","±10,698","81.7%","±0.4","119,085","±1,526","101,056","±2,430","81.6%","±1.5","117,504","±7,151"
"            With wages or salary income","1,883,129","±10,254","79.0%","±0.4","115,349","±1,408","98,408","±2,610","79.5%","±1.7","113,225","±7,043"
"            With self-employment income","313,649","±9,965","13.2%","±0.4","46,733","±2,737","16,212","±2,174","13.1%","±1.7","45,170","±13,430"
"        With interest, dividends, or net rental income","522,914","±10,231","21.9%","±0.4","28,880","±1,905","25,680","±2,726","20.7%","±2.2","17,615","±4,757"
"        With Social Security income","607,234","±8,204","25.5%","±0.3","22,784","±293","31,711","±1,958","25.6%","±1.6","22,566","±1,298"
"        With Supplemental Security Income (SSI)","74,162","±4,460","3.1%","±0.2","10,798","±465","4,683","±1,456","3.8%","±1.2","11,248","±2,222"
"        With cash public assistance income or Food Stamps/SNAP","225,738","±8,100","9.5%","±0.3","(X)","(X)","11,810","±2,014","9.5%","±1.6","(X)","(X)"
"            With cash public assistance","53,589","±3,796","2.2%","±0.2","4,580","±430","2,733","±918","2.2%","±0.7","3,174","±940"
"        With retirement income","521,772","±10,142","21.9%","±0.4","35,459","±1,054","26,952","±1,973","21.8%","±1.6","30,965","±2,811"
"        With other types of income","224,065","±8,344","9.4%","±0.3","15,609","±632","10,448","±1,948","8.4%","±1.6","12,043","±2,273"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","","","","","","","","","",""
"    All families","1,464,182","±10,863","1,464,182","±10,863","142,387","±1,990","87,314","±3,044","87,314","±3,044","129,646","±7,923"
"        No workers","189,519","±6,536","12.9%","±0.4","84,574","±2,858","10,773","±1,610","12.3%","±1.8","71,273","±11,322"
"        1 worker","412,170","±10,193","28.2%","±0.6","109,489","±3,344","21,865","±2,558","25.0%","±2.8","89,504","±10,194"
"        2 workers, both spouses worked","547,507","±9,563","37.4%","±0.6","177,910","±3,001","32,216","±2,810","36.9%","±2.8","145,704","±7,876"
"        2 workers, other","138,267","±6,830","9.4%","±0.5","121,555","±6,272","7,732","±1,618","8.9%","±1.9","148,533","±57,165"
"        3 or more workers, both spouses worked","132,463","±5,759","9.0%","±0.4","197,468","±6,126","12,731","±2,073","14.6%","±2.3","189,655","±17,666"
"        3 or more workers, other","44,256","±4,056","3.0%","±0.3","157,111","±11,546","1,997","±903","2.3%","±1.0","169,295","±24,516"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"    Total population","5,839,926","*****","5,839,926","*****","49,071","±524","350,176","*****","350,176","*****","41,164","±2,249"
"        One race--","","","","","","","","","","","",""
"            White","4,106,707","±18,254","70.3%","±0.3","55,103","±714","250,089","±6,449","71.4%","±1.8","44,797","±2,999"
"            Black or African American","235,519","±7,436","4.0%","±0.1","31,796","±1,754","5,042","±1,121","1.4%","±0.3","35,139","±13,712"
"            American Indian and Alaska Native","71,351","±10,561","1.2%","±0.2","28,603","±4,515","2,663","±1,182","0.8%","±0.3","29,676","±15,654"
"            Asian","190,181","±4,841","3.3%","±0.1","54,724","±4,048","5,578","±1,221","1.6%","±0.3","42,946","±9,894"
"            Native Hawaiian and Other Pacific Islander","6,916","±1,251","0.1%","±0.1","42,655","±15,490","256","±250","0.1%","±0.1","51,901","±50,726"
"            Some other race","374,838","±19,447","6.4%","±0.3","30,433","±1,468","37,203","±6,294","10.6%","±1.8","30,461","±6,659"
"        Two or more races","854,414","±21,957","14.6%","±0.4","33,518","±1,092","49,345","±5,273","14.1%","±1.5","31,798","±4,318"
"        Hispanic or Latino origin (of any race)","1,314,962","*****","22.5%","*****","29,910","±787","108,516","*****","31.0%","*****","28,640","±2,986"
"        White alone, not Hispanic or Latino","3,793,270","±7,190","65.0%","±0.1","57,252","±771","218,111","±1,811","62.3%","±0.5","48,034","±3,162"
